para_id,x,y,row,col,word,sentence,word_index_in_sentence,sentence_length,depth
12,380.0,272.0,0,0,  ,  ,-1,1,0
12,420.0,272.0,0,1,  ,  ,-1,1,0
12,460.0,272.0,0,2,当,当地时间8月21日,0,8,3
12,500.0,272.0,0,3,地,当地时间8月21日,1,8,3
12,540.0,272.0,0,4,时,当地时间8月21日,2,8,3
12,580.0,272.0,0,5,间,当地时间8月21日,3,8,3
12,620.0,272.0,0,6,8,当地时间8月21日,4,8,3
12,660.0,272.0,0,7,月,当地时间8月21日,5,8,3
12,700.0,272.0,0,8,21,当地时间8月21日,6,8,3
12,740.0,272.0,0,9,日,当地时间8月21日,7,8,3
12,780.0,272.0,0,10,，,，,-1,1,0
12,820.0,272.0,0,11,法,法官对英国护士露西,0,9,3
12,860.0,272.0,0,12,官,法官对英国护士露西,1,9,3
12,900.0,272.0,0,13,对,法官对英国护士露西,2,9,4
12,940.0,272.0,0,14,英,法官对英国护士露西,3,9,7
12,980.0,272.0,0,15,国,法官对英国护士露西,4,9,7
12,1020.0,272.0,0,16,护,法官对英国护士露西,5,9,7
12,1060.0,272.0,0,17,士,法官对英国护士露西,6,9,7
12,1100.0,272.0,0,18,露,法官对英国护士露西,7,9,6
12,1140.0,272.0,0,19,西,法官对英国护士露西,8,9,6
12,1180.0,272.0,0,20,·,·,-1,1,0
12,1220.0,272.0,0,21,莱,莱特比谋杀7名婴儿,0,9,3
12,1260.0,272.0,0,22,特,莱特比谋杀7名婴儿,1,9,3
12,1300.0,272.0,0,23,比,莱特比谋杀7名婴儿,2,9,3
12,1340.0,272.0,0,24,谋,莱特比谋杀7名婴儿,3,9,3
12,1380.0,272.0,0,25,杀,莱特比谋杀7名婴儿,4,9,3
12,1420.0,272.0,0,26,7,莱特比谋杀7名婴儿,5,9,5
12,1460.0,272.0,0,27,名,莱特比谋杀7名婴儿,6,9,6
12,1500.0,272.0,0,28,婴,莱特比谋杀7名婴儿,7,9,5
12,1540.0,272.0,0,29,儿,莱特比谋杀7名婴儿,8,9,5
12,380.0,336.0,1,0,以,以及试图杀害另外6名婴儿一案做出裁定,0,18,6
12,420.0,336.0,1,1,及,以及试图杀害另外6名婴儿一案做出裁定,1,18,6
12,460.0,336.0,1,2,试,以及试图杀害另外6名婴儿一案做出裁定,2,18,8
12,500.0,336.0,1,3,图,以及试图杀害另外6名婴儿一案做出裁定,3,18,8
12,540.0,336.0,1,4,杀,以及试图杀害另外6名婴儿一案做出裁定,4,18,10
12,580.0,336.0,1,5,害,以及试图杀害另外6名婴儿一案做出裁定,5,18,10
12,620.0,336.0,1,6,另,以及试图杀害另外6名婴儿一案做出裁定,6,18,12
12,660.0,336.0,1,7,外,以及试图杀害另外6名婴儿一案做出裁定,7,18,12
12,700.0,336.0,1,8,6,以及试图杀害另外6名婴儿一案做出裁定,8,18,13
12,740.0,336.0,1,9,名,以及试图杀害另外6名婴儿一案做出裁定,9,18,14
12,780.0,336.0,1,10,婴,以及试图杀害另外6名婴儿一案做出裁定,10,18,12
12,820.0,336.0,1,11,儿,以及试图杀害另外6名婴儿一案做出裁定,11,18,12
12,860.0,336.0,1,12,一,以及试图杀害另外6名婴儿一案做出裁定,12,18,5
12,900.0,336.0,1,13,案,以及试图杀害另外6名婴儿一案做出裁定,13,18,5
12,940.0,336.0,1,14,做,以及试图杀害另外6名婴儿一案做出裁定,14,18,4
12,980.0,336.0,1,15,出,以及试图杀害另外6名婴儿一案做出裁定,15,18,4
12,1020.0,336.0,1,16,裁,以及试图杀害另外6名婴儿一案做出裁定,16,18,5
12,1060.0,336.0,1,17,定,以及试图杀害另外6名婴儿一案做出裁定,17,18,5
12,1100.0,336.0,1,18,，,，,-1,1,0
12,1140.0,336.0,1,19,判,判处露西终身监禁,0,8,3
12,1180.0,336.0,1,20,处,判处露西终身监禁,1,8,3
12,1220.0,336.0,1,21,露,判处露西终身监禁,2,8,4
12,1260.0,336.0,1,22,西,判处露西终身监禁,3,8,4
12,1300.0,336.0,1,23,终,判处露西终身监禁,4,8,4
12,1340.0,336.0,1,24,身,判处露西终身监禁,5,8,4
12,1380.0,336.0,1,25,监,判处露西终身监禁,6,8,4
12,1420.0,336.0,1,26,禁,判处露西终身监禁,7,8,4
12,1460.0,336.0,1,27,。,。,-1,1,0
12,380.0,400.0,2,0,  ,  ,-1,1,0
12,420.0,400.0,2,1,  ,  ,-1,1,0
12,460.0,400.0,2,2,据,据路透社报道,0,6,2
12,500.0,400.0,2,3,路,据路透社报道,1,6,4
12,540.0,400.0,2,4,透,据路透社报道,2,6,4
12,580.0,400.0,2,5,社,据路透社报道,3,6,4
12,620.0,400.0,2,6,报,据路透社报道,4,6,4
12,660.0,400.0,2,7,道,据路透社报道,5,6,4
12,700.0,400.0,2,8,，,，,-1,1,0
12,740.0,400.0,2,9,现,现年33岁的露西,0,7,6
12,780.0,400.0,2,10,年,现年33岁的露西,1,7,6
12,820.0,400.0,2,11,33,现年33岁的露西,2,7,7
12,860.0,400.0,2,12,岁,现年33岁的露西,3,7,8
12,900.0,400.0,2,13,的,现年33岁的露西,4,7,4
12,940.0,400.0,2,14,露,现年33岁的露西,5,7,3
12,980.0,400.0,2,15,西,现年33岁的露西,6,7,3
12,1020.0,400.0,2,16,·,·,-1,1,0
12,1060.0,400.0,2,17,莱,莱特比是英国现代史上杀人最,0,13,3
12,1100.0,400.0,2,18,特,莱特比是英国现代史上杀人最,1,13,3
12,1140.0,400.0,2,19,比,莱特比是英国现代史上杀人最,2,13,3
12,1180.0,400.0,2,20,是,莱特比是英国现代史上杀人最,3,13,3
12,1220.0,400.0,2,21,英,莱特比是英国现代史上杀人最,4,13,7
12,1260.0,400.0,2,22,国,莱特比是英国现代史上杀人最,5,13,7
12,1300.0,400.0,2,23,现,莱特比是英国现代史上杀人最,6,13,7
12,1340.0,400.0,2,24,代,莱特比是英国现代史上杀人最,7,13,7
12,1380.0,400.0,2,25,史,莱特比是英国现代史上杀人最,8,13,7
12,1420.0,400.0,2,26,上,莱特比是英国现代史上杀人最,9,13,5
12,1460.0,400.0,2,27,杀,莱特比是英国现代史上杀人最,10,13,5
12,1500.0,400.0,2,28,人,莱特比是英国现代史上杀人最,11,13,5
