para_id,x,y,row,col,word,penalty
0,380.0,272.0,0.0,0,  ,-0.001
0,420.0,272.0,0.0,1,  ,-0.001
0,460.0,272.0,0.0,2,8,1.0
0,500.0,272.0,0.0,3,月,1.0
0,540.0,272.0,0.0,4,22,1.0
0,580.0,272.0,0.0,5,日,1.0
0,620.0,272.0,0.0,6,，,1.0
0,660.0,272.0,0.0,7,据,1.0
0,700.0,272.0,0.0,8,央,1.0
0,740.0,272.0,0.0,9,视,1.0
0,780.0,272.0,0.0,10,新,1.0
0,820.0,272.0,0.0,11,闻,1.0
0,860.0,272.0,0.0,12,报,1.0
0,900.0,272.0,0.0,13,道,1.0
0,940.0,272.0,0.0,14,，,1.0
0,980.0,272.0,0.0,15,总,1.0
0,1020.0,272.0,0.0,16,台,1.0
0,1060.0,272.0,0.0,17,记,1.0
0,1100.0,272.0,0.0,18,者,1.0
0,1140.0,272.0,0.0,19,目,1.0
0,1180.0,272.0,0.0,20,击,1.0
0,1220.0,272.0,0.0,21,，,1.0
0,1260.0,272.0,0.0,22,天,1.0
0,1300.0,272.0,0.0,23,津,1.0
0,1340.0,272.0,0.0,24,市,1.0
0,1380.0,272.0,0.0,25,位,1.0
0,1420.0,272.0,0.0,26,于,1.0
0,1460.0,272.0,0.0,27,南,1.0
0,1500.0,272.0,0.0,28,开,1.0
0,1540.0,272.0,0.0,29,区,1.0
0,380.0,336.0,1.0,0,南,1.0
0,420.0,336.0,1.0,1,京,1.0
0,460.0,336.0,1.0,2,路,1.0
0,500.0,336.0,1.0,3,与,1.0
0,540.0,336.0,1.0,4,万,1.0
0,580.0,336.0,1.0,5,德,1.0
0,620.0,336.0,1.0,6,庄,1.0
0,660.0,336.0,1.0,7,南,1.0
0,700.0,336.0,1.0,8,北,1.0
0,740.0,336.0,1.0,9,街,1.0
0,780.0,336.0,1.0,10,交,1.0
0,820.0,336.0,1.0,11,口,1.0
0,860.0,336.0,1.0,12,处,1.0
0,900.0,336.0,1.0,13,的,1.0
0,940.0,336.0,1.0,14,一,1.0
0,980.0,336.0,1.0,15,栋,1.0
0,1020.0,336.0,1.0,16,大,1.0
0,1060.0,336.0,1.0,17,厦,1.0
0,1100.0,336.0,1.0,18,发,1.0
0,1140.0,336.0,1.0,19,生,1.0
0,1180.0,336.0,1.0,20,火,1.0
0,1220.0,336.0,1.0,21,情,1.0
0,1260.0,336.0,1.0,22,，,1.0
0,1300.0,336.0,1.0,23,目,1.0
0,1340.0,336.0,1.0,24,前,1.0
0,1380.0,336.0,1.0,25,从,1.0
0,1420.0,336.0,1.0,26,大,1.0
0,1460.0,336.0,1.0,27,楼,1.0
0,1500.0,336.0,1.0,28,的,1.0
0,1540.0,336.0,1.0,29,一,1.0
0,380.0,400.0,2.0,0,侧,1.0
0,420.0,400.0,2.0,1,外,1.0
0,460.0,400.0,2.0,2,立,1.0
0,500.0,400.0,2.0,3,面,1.0
0,540.0,400.0,2.0,4,到,1.0
0,580.0,400.0,2.0,5,顶,1.0
0,620.0,400.0,2.0,6,楼,1.0
0,660.0,400.0,2.0,7,均,1.0
0,700.0,400.0,2.0,8,可,1.0
0,740.0,400.0,2.0,9,见,1.0
0,780.0,400.0,2.0,10,明,1.0
0,820.0,400.0,2.0,11,火,1.0
0,860.0,400.0,2.0,12,，,1.0
0,900.0,400.0,2.0,13,消,1.0
0,940.0,400.0,2.0,14,防,1.0
0,980.0,400.0,2.0,15,部,1.0
0,1020.0,400.0,2.0,16,门,1.0
0,1060.0,400.0,2.0,17,正,1.0
0,1100.0,400.0,2.0,18,在,1.0
0,1140.0,400.0,2.0,19,全,1.0
0,1180.0,400.0,2.0,20,力,1.0
0,1220.0,400.0,2.0,21,进,1.0
0,1260.0,400.0,2.0,22,行,1.0
0,1300.0,400.0,2.0,23,灭,1.0
0,1340.0,400.0,2.0,24,火,1.0
