para_id,x,y,row,col,word,horizontal_edge_weight,vertical_edge_weight,first_row_weight,gpt_weight
0,380.0,272.0,0,0,  ,0,0,0.0,1
0,420.0,272.0,0,1,  ,0,0,0.0,1
0,460.0,272.0,0,2,8,1,1,5.0,3
0,500.0,272.0,0,3,月,1,1,5.0,3
0,540.0,272.0,0,4,22,5,1,5.0,3
0,580.0,272.0,0,5,日,5,1,5.0,3
0,620.0,272.0,0,6,，,0,1,0.0,1
0,660.0,272.0,0,7,据,0,1,5.0,2
0,700.0,272.0,0,8,央,0,1,0.0,4
0,740.0,272.0,0,9,视,0,1,0.0,4
0,780.0,272.0,0,10,新,0,1,0.0,3
0,820.0,272.0,0,11,闻,0,1,0.0,3
0,860.0,272.0,0,12,报,0,1,0.0,3
0,900.0,272.0,0,13,道,0,1,0.0,3
0,940.0,272.0,0,14,，,0,1,0.0,1
0,980.0,272.0,0,15,总,0,1,0.0,3
0,1020.0,272.0,0,16,台,0,1,0.0,3
0,1060.0,272.0,0,17,记,0,1,0.0,3
0,1100.0,272.0,0,18,者,0,1,0.0,3
0,1140.0,272.0,0,19,目,0,1,0.0,4
0,1180.0,272.0,0,20,击,0,1,0.0,4
0,1220.0,272.0,0,21,，,0,1,0.0,1
0,1260.0,272.0,0,22,天,0,1,0.0,5
0,1300.0,272.0,0,23,津,0,1,0.0,5
0,1340.0,272.0,0,24,市,0,1,0.0,5
0,1380.0,272.0,0,25,位,5,1,0.0,3
0,1420.0,272.0,0,26,于,5,1,0.0,3
0,1460.0,272.0,0,27,南,1,1,0.0,5
0,1500.0,272.0,0,28,开,1,3,0.0,5
0,1540.0,272.0,0,29,区,1,3,0.0,5
0,380.0,336.0,1,0,南,1,3,0.0,5
0,420.0,336.0,1,1,京,1,3,0.0,5
0,460.0,336.0,1,2,路,1,3,0.0,5
0,500.0,336.0,1,3,与,5,3,0.0,2
0,540.0,336.0,1,4,万,0,3,0.0,5
0,580.0,336.0,1,5,德,0,3,0.0,5
0,620.0,336.0,1,6,庄,0,3,0.0,5
0,660.0,336.0,1,7,南,0,3,0.0,5
0,700.0,336.0,1,8,北,0,3,0.0,5
0,740.0,336.0,1,9,街,0,3,0.0,5
0,780.0,336.0,1,10,交,0,3,0.0,3
0,820.0,336.0,1,11,口,0,3,0.0,3
0,860.0,336.0,1,12,处,0,3,0.0,3
0,900.0,336.0,1,13,的,0,3,0.0,1
0,940.0,336.0,1,14,一,0,3,0.0,2
0,980.0,336.0,1,15,栋,0,3,0.0,3
0,1020.0,336.0,1,16,大,0,3,0.0,4
0,1060.0,336.0,1,17,厦,0,3,0.0,4
0,1100.0,336.0,1,18,发,0,3,0.0,4
0,1140.0,336.0,1,19,生,0,3,0.0,4
0,1180.0,336.0,1,20,火,0,3,0.0,5
0,1220.0,336.0,1,21,情,0,3,0.0,5
0,1260.0,336.0,1,22,，,0,3,0.0,1
0,1300.0,336.0,1,23,目,0,3,0.0,3
0,1340.0,336.0,1,24,前,0,3,0.0,3
0,1380.0,336.0,1,25,从,0,3,0.0,3
0,1420.0,336.0,1,26,大,0,3,0.0,4
0,1460.0,336.0,1,27,楼,0,3,0.0,4
0,1500.0,336.0,1,28,的,5,1,0.0,1
0,1540.0,336.0,1,29,一,1,1,0.0,2
0,380.0,400.0,2,0,侧,1,1,0.0,4
0,420.0,400.0,2,1,外,5,1,0.0,4
0,460.0,400.0,2,2,立,5,0,0.0,4
0,500.0,400.0,2,3,面,5,0,0.0,4
0,540.0,400.0,2,4,到,0,0,0.0,3
0,580.0,400.0,2,5,顶,0,0,0.0,4
